total_units,units_2,units_3_4,units_5_9,units_10_19,units_20plus,median_rent,median_value,renter_occupied,total_occupied,population,median_hh_income,GEOID,affordability_stress_index,rent_burdened,mf_share,log_rent,log_income,mean_max_height_ft,mean_max_far,mean_max_du_per_acre
2227,120,121,13,11,0,1596.0,254800.0,940,2060,6599,76919.0,25001012602,0.24898919642741063,0.0,0.11899416255051638,7.3752557780097545,11.250508199098189,,,
3141,75,0,102,39,14,2298.0,512800.0,383,2014,4768,117722.0,25001012700,0.23424678479808364,0.0,0.07322508755173511,7.739794458408701,11.67608119166962,,,
2030,54,30,56,0,0,1758.0,486700.0,220,1554,4051,103693.0,25001012800,0.20344671289286642,0.0,0.06896551724137931,7.471932078245122,11.549189889528428,,,
1960,0,0,0,0,0,2247.0,447700.0,293,1871,4702,105507.0,25001012900,0.25556598140407744,0.0,0.0,7.717351272185329,11.566532580408047,,,
2749,34,38,69,0,0,1744.0,799300.0,98,1282,2768,108056.0,25001013002,0.19367735248389725,0.0,0.051291378683157515,7.463936604468925,11.5904048902406,,,
2674,31,25,0,0,0,1838.0,529200.0,161,2359,5942,113427.0,25001013100,0.1944510566267291,0.0,0.020942408376963352,7.516433302915632,11.63891473717371,,,
2977,0,0,0,0,0,1795.0,583400.0,122,2099,4727,125964.0,25001013200,0.1710012384490807,0.0,0.0,7.492760300922379,11.743751430823798,,,
2099,29,31,146,18,101,1650.0,486500.0,373,1444,3120,96563.0,25001013300,0.20504748195478598,0.0,0.15483563601715103,7.408530566894626,11.477950924054323,,,
2341,25,8,0,0,9,1650.0,606100.0,146,1653,4080,127614.0,25001013400,0.15515539047439936,0.0,0.01794105083297736,7.408530566894626,11.7567653617426,,,
2778,0,0,16,0,0,,478300.0,74,2595,6956,141453.0,25001013500,,,0.005759539236861051,,11.859722785412549,,,
2407,19,96,0,0,12,1528.0,442200.0,289,2285,6258,113346.0,25001013600,0.1617701551003123,0.0,0.05276277523888658,7.331714969726466,11.638200366384908,,,
2258,17,54,54,0,17,1232.0,441600.0,502,1916,4285,88370.0,25001013700,0.16729659386669685,0.0,0.06288751107174491,7.116394144093465,11.38928782451205,,,
2547,58,174,135,40,80,1469.0,488300.0,448,2217,5504,100152.0,25001013800,0.17601246105919002,0.0,0.19120533961523362,7.292337176173877,11.514444310939497,,,
3050,87,42,23,22,0,1726.0,473900.0,427,2314,5046,85429.0,25001013900,0.2424469442460991,0.0,0.057049180327868855,7.453561871643373,11.35544090058728,,,
3274,21,10,117,0,96,1142.0,571100.0,450,2047,4859,93098.0,25001014002,0.14719972502094567,0.0,0.07452657299938913,7.040536390215956,11.44140798075729,,,
309,12,47,19,0,0,1897.0,,221,221,766,49250.0,25001014100,0.46221319796954313,1.0,0.2524271844660194,7.5480289699350145,10.804664646600235,,,
3627,71,23,0,15,0,,669800.0,50,1541,3748,149583.0,25001014300,,,0.030052384891094568,,11.915606701701776,,,
3345,0,121,0,0,0,1241.0,475100.0,124,2839,7399,99047.0,25001014402,0.15035286278231547,0.0,0.03617339312406577,7.123672785204607,11.503349763934546,,,
3304,0,19,0,0,0,2194.0,433900.0,142,2426,5801,79809.0,25001014500,0.3298876066609029,1.0,0.0057506053268765135,7.693481640835175,11.28739155903338,,,
2673,39,51,0,22,16,1697.0,492500.0,279,2030,4463,93197.0,25001014600,0.21850488749637864,0.0,0.04788627010849233,7.436617265234227,11.44247081131441,,,
3138,58,128,11,0,30,1559.0,454100.0,298,1652,3870,84848.0,25001014700,0.2204884027908731,0.0,0.07233906947100063,7.351799869057777,11.348616699376912,,,
2964,22,253,17,51,249,1103.0,658800.0,905,1905,3679,50594.0,25001014800,0.26161204885954853,0.0,0.19973009446693657,7.005789019253503,10.831588271169641,,,
3087,41,214,166,21,0,1148.0,850000.0,473,1844,3734,103750.0,25001014900,0.13278072289156626,0.0,0.14318108195659215,7.045776576879511,11.549739438092944,,,
2129,53,40,73,0,0,1298.0,427300.0,284,1876,4555,86371.0,25001015001,0.18033830799689712,0.0,0.07797087834664161,7.168579897264035,11.36640725030155,,,
2468,0,267,135,0,0,1458.0,464900.0,486,1937,4092,79174.0,25001015002,0.2209816353853538,0.0,0.16288492706645058,7.284820912568604,11.279403241077631,,,
2519,40,138,272,28,90,2006.0,483300.0,307,1830,4101,85000.0,25001015100,0.2832,0.0,0.22548630408892417,7.603897968521881,11.350406535472453,,,
3269,38,50,0,31,31,3072.0,688800.0,131,1125,2396,125772.0,25001015200,0.2931018032630474,0.0,0.04588559192413582,8.030084094267563,11.742226022958178,,,
2346,90,483,203,241,449,1509.0,419400.0,1309,1729,3864,42227.0,25001015300,0.42882515925829445,1.0,0.6248934356351236,7.319202458767849,10.650815105859214,,,
2362,192,573,278,541,372,859.0,,1874,1991,3258,28109.0,25003900100,0.36671528691878047,1.0,0.8281117696867062,6.755768921984255,10.243845088739151,,,
2200,720,638,239,84,75,1077.0,165900.0,1434,1865,4704,45101.0,25003900200,0.2865568390944769,0.0,0.7981818181818182,6.981934677156389,10.716659698193956,,,
1297,335,110,0,0,0,1465.0,185300.0,415,1120,2591,75000.0,25003900300,0.2344,0.0,0.3430994602929838,7.289610521451167,11.225243392518447,,,
2362,331,124,292,20,25,1101.0,198100.0,680,2098,4456,73462.0,25003900400,0.17984808472407504,0.0,0.3353090601185436,7.00397413672268,11.204523544704108,,,
1469,42,75,19,0,0,1326.0,261500.0,72,1360,3390,103942.0,25003900500,0.1530853745357988,0.0,0.09257998638529612,7.189922170745808,11.55158833024762,,,
1713,474,164,88,229,28,980.0,149400.0,847,1421,3565,38859.0,25003900600,0.3026325947656913,1.0,0.5738470519556333,6.887552571664617,10.567694989198365,,,
1337,85,91,0,34,12,847.0,220500.0,251,1172,2958,83125.0,25003900700,0.12227368421052633,0.0,0.16604338070306657,6.741700694652055,11.328100777958156,,,
2304,168,73,21,0,0,1017.0,268500.0,82,2239,5086,96479.0,25003900800,0.12649384840224298,0.0,0.11371527777777778,6.92461239604856,11.477080647064843,,,
2257,257,438,241,87,36,1063.0,223200.0,861,2090,5226,80781.0,25003900900,0.15790841905893713,0.0,0.4692069118298626,6.968850378341948,11.299497068342589,,,
1731,0,137,203,140,16,1086.0,203800.0,560,1731,3474,47926.0,25003901100,0.2719192087802028,0.0,0.28653957250144424,6.990256500493881,10.777413433632514,,,
1574,28,41,85,0,0,1405.0,266400.0,57,1334,3037,87159.0,25003911100,0.19343957594740646,0.0,0.09783989834815757,7.247792581767846,11.375489315839916,,,
3003,237,250,25,100,19,887.0,285800.0,673,2884,6332,76198.0,25003912100,0.13968870574030814,0.0,0.2101232101232101,6.787844982309579,11.241090494611127,,,
3031,112,103,239,272,119,1101.0,394200.0,730,2265,5083,76571.0,25003913100,0.17254574186049548,0.0,0.27878587924777304,7.00397413672268,11.245973693967038,,,
3053,205,272,158,139,63,1187.0,310400.0,509,2520,5765,74074.0,25003914100,0.1922941922941923,0.0,0.2741565673108418,7.079184394609668,11.21281987251939,,,
1958,106,185,164,18,24,1217.0,379500.0,486,1658,4744,103482.0,25003920101,0.14112599292630604,0.0,0.25383043922369763,7.104144092987527,11.547152963519455,,,
